author,published_at,updated_at,like_count,text
moonlitme,2023-07-13T00:44:30Z,2023-07-13T00:57:11Z,0,When AI tells us we&#39;re no longer necessary...
UNIAS,2023-07-08T14:45:00Z,2023-07-08T14:45:00Z,0,We are searching for those who embody The Spirit need to guide Humanity during The Ascent.
Employee of the Month,2023-07-01T02:33:10Z,2023-07-01T02:33:10Z,0,Beautiful
beatrice gatambu,2023-06-26T14:36:14Z,2023-06-26T14:37:33Z,0,"The AI revolution is surely a gift to humankind. That means it can not be for commercial purposes but  a means of organising society with the goal of the next dispensation period called the knowledge age. It must have a universal teleological approach to life and must completely have  a theory that is completely different from newtonian alone, but a combination of both physical  and spiritual . Humanity can find reason to live and not only  wealth creation and death as the end. We must fit in the CBDC  and tokenisation to the infrastructure as an incentive to influence behaviour. Decentralising the world will enable liquid democracy so that the system thinks at all levels to maximise data collected.The more the data the more the accuracy. This is a lot of data that can solve almost all problems with the look of life as a workerless economy. In this case GDP won&#39;t be the method to measure the wealth of a nation. To dematerialise the world then we only need to organise society with all that there is now by creating a Service Oriented architecture. Such an infrastructure cannot be owned by anyone. So all tech companies should stop competing and unite to solve the common extinction problem."
Oichi Mama channel,2023-06-24T10:32:54Z,2023-06-24T10:34:08Z,0,"Yeah I’m really happy  to know about this 🙏🇰🇭❤️🇯🇵🇫🇷                    ( super assistance to help people around the world 🌎 can  ,  be happy enjoy  also can have food when they want) not just money 💴"
Oichi Mama channel,2023-06-24T08:44:39Z,2023-06-24T09:10:33Z,0,"I think is not this way ! AI just comes for helping people around the world 🌎not do something makes the world 🌎 problems because right now The world needs This,  to make people better more happy and stop making people hard life ! AI knows right now  everyone in the world is hard  life from everything in the world ! 🙏❤️🇰🇭🇯🇵🇫🇷"
Oichi Mama channel,2023-06-24T08:32:11Z,2023-06-24T08:32:11Z,0,Wow  and I’m from Cambodia 🇰🇭  ❤️🇯🇵🇫🇷is Amazing for the 🌍world
Oichi Mama channel,2023-06-23T03:20:28Z,2023-06-23T03:20:28Z,0,Please tell me if someone in the comments knows! Please 🙏🇰🇭
Oichi Mama channel,2023-06-23T03:19:13Z,2023-06-23T03:19:13Z,0,I’m from Cambodia 🇰🇭 and i think AI is very good and AI tell you more good things ❤ (I’m just guessing)
Anon,2023-06-15T05:36:49Z,2023-06-15T05:36:49Z,0,"Heres a REPEAT of this re-uploaded over a month later.<br><br><a href=""https://youtu.be/YTSUa-7Ym5M"">https://youtu.be/YTSUa-7Ym5M</a>"
mohammed hassan,2023-06-13T10:53:41Z,2023-06-13T10:53:41Z,0,"AI is very old we saw it in video games such as gta the whole city is ai interact with  one player . we maybe fall in love with some of chat bots who talk about sex , AI is also in youtube recommendations when they expect what you thinking to watch , also when you visit new websites AI ask you if you are not a robot lol , and you say im not a robot lol ,robots work in factories since decades , robots run the world  economy in stock exchange  i think its too late to stop the development its already developed and the machines was learning for decades and know more about humans knows about them selves , i&#39;m trying to be positive but if will robots do everything what humans will do and how they gonna live  ?"
Stratodweller,2023-06-10T16:05:29Z,2023-06-10T16:05:29Z,0,"The Turing Test would be inadequate to test machine intelligence.  I mean: If I don&#39;t know any better, I would have said that the &#39;Baby Shoes&#39; story was written by a human."
Theresa Marasco,2023-06-09T04:12:02Z,2023-06-09T04:12:02Z,0,It will be interesting to see how China trains its AI and what they will train it to do.
Chris Lee,2023-06-05T14:16:50Z,2023-06-06T14:31:14Z,58,"Recap with useful timestamps by Tammy AI<br><a href=""https://www.youtube.com/watch?v=TUCnsS72Q9s&amp;t=2m17s"">2:17</a>: 💻 Google&#39;s chatbot, Bard, demonstrates the power and potential of artificial intelligence<br><a href=""https://www.youtube.com/watch?v=TUCnsS72Q9s&amp;t=8m34s"">8:34</a>: 🤖 Google&#39;s AI, Bard, has the potential to change society and jobs, but poses its own problems.<br><a href=""https://www.youtube.com/watch?v=TUCnsS72Q9s&amp;t=17m24s"">17:24</a>: 🤖 Google&#39;s AI lab in London is using self-learning machines to create robots that can work in human environments.<br><a href=""https://www.youtube.com/watch?v=TUCnsS72Q9s&amp;t=30m14s"">30:14</a>: 📚 David Grant, a journalist and author, shares his process of researching and writing his books, which involve traveling to remote locations and delving into historical records.<br><a href=""https://www.youtube.com/watch?v=TUCnsS72Q9s&amp;t=35m46s"">35:46</a>: 📚 Bestselling author David Grann discusses his fascination with obsession and his latest book, The Wager.<br><a href=""https://www.youtube.com/watch?v=TUCnsS72Q9s&amp;t=42m06s"">42:06</a>: 🔍 To be a successful writer, researcher, and investigator, one needs to be obsessed."
Happiness Hotel,2023-06-04T22:24:34Z,2023-06-04T22:24:34Z,0,Google became pretty diverse now since blm. Before all thier presidents were white.
El JoHan,2023-06-02T22:17:31Z,2023-06-02T22:17:31Z,0,"You are crazy, google man.  Get ready for A I or Bard to “play a game”.  I wouldn’t care if google fell off the earth."
WigglyTuff Stuff,2023-05-30T13:35:44Z,2023-05-30T13:35:44Z,0,"This is kind of like watching a gifted child with no siblings be good at something. Of course it&#39;s easy to beat yourself at chess. It will be interesting to see how it reacts to unpredictable (?) Human input and variables, and what failsafes have been put in place for that."
Brandon Rivers,2023-05-30T12:52:33Z,2023-05-30T12:52:33Z,0,This is wild
D garcia A,2023-05-30T00:59:38Z,2023-05-30T00:59:38Z,0,The ceo of google is evil watch
Sara,2023-05-29T21:02:46Z,2023-05-29T21:02:46Z,0,"I left all social media 7 years ago. Best decision.<br><br>Alternative for sharing photos with family, apple photo stream works great!"
Jacob Junior,2023-05-26T19:19:19Z,2023-05-26T19:19:19Z,0,Paid promotion by Google..... Bard is not Good...
Samir A. Hatoum,2023-05-22T20:12:24Z,2023-05-22T20:12:24Z,0,Are you able to control it once it is in control?
Ms. Cheryl,2023-05-21T23:06:43Z,2023-05-21T23:10:34Z,0,"OMG HERE WE GO, THE BEGINNING OF THE END. LORD HELP US !  DID ANYONE HEAR JEFFERY HENSON BLOWING THE WISTLE ? ? ?"
Beth Miller,2023-05-21T14:26:42Z,2023-05-21T14:26:42Z,0,Grann is amazing. 👍
Curtis Dodson,2023-05-21T07:52:25Z,2023-05-21T07:52:25Z,0,Their opening up Pandora’s box
Kyle Clark,2023-05-20T20:36:42Z,2023-05-20T20:36:42Z,0,"Believe it or not, I have a friend who consults one of these chat bots about finance.... he just made $47,000 overnight on a new crypto. Did I mention the A.I chat bot told him to invest in the crypto. I&#39;m not saying it&#39;ll work every time but this thing is no joke."
Greg J,2023-05-18T20:34:45Z,2023-05-18T20:34:45Z,0,So they want to remove human creativity from our society for their own profit is what it comes down to
Linda,2023-05-18T11:00:17Z,2023-05-18T11:00:17Z,38,"ChatGPT really opened our eyes to the possibility of the AI revolution. My team now works on Tammy AI<a href=""about:invalid#zCSafez""></a>and there is so much innovation in this space that 24hrs a day is not enough to make what we what."
B C,2023-05-15T21:32:25Z,2023-05-15T21:32:25Z,0,So much misinformation. Makes me doubt the credibility of 60 minutes for the first time :/
Brian Kehew,2023-05-15T18:51:07Z,2023-05-15T18:51:07Z,0,"Any logical look at the planet would report that humans ARE the problem. Greed, war, pollution, etc. I could see AI offering ideal AI artificial sexual experiences so that humans don&#39;t multiply as much. Not killing humans but regulating their overproduction. And ideally, monitoring deviant behaviors to stop killers, racists, greedy, and mentally dangerous individuals for the good of all."
Daniel Argueta,2023-05-11T09:39:27Z,2023-05-11T09:39:27Z,1,🤔
Best Fit Square Channel,2023-05-10T11:18:45Z,2023-05-10T11:18:45Z,0,Thank you…
Unschärferelation,2023-05-09T12:11:07Z,2023-05-09T12:11:07Z,1,Beware of scams like China&#39;s Alpara VR goggle company
Supreme 1906,2023-05-08T06:56:14Z,2023-05-08T06:56:14Z,0,Someone ask the AI which is the master race. I&#39;m tryna see something... 👀👀👀
Jim Parsons,2023-05-07T20:21:46Z,2023-05-07T20:21:46Z,0,"Heard that a radio astronomer  from Quebec was able to identify, perhaps, narrowband radio sources that are being produced by ETs.  Checked out to about 90 light years.  So, maybe 1 ET civilization per 1000 stars, you get an ET civilization? Or about 1 million civilizations in our Milky Way Galaxy; a finding of Biblical consequences. Maybe use the Webb to check it out?  Or another ai to listen in?  Boggle."
Jswin,2023-05-07T11:22:58Z,2023-05-07T11:22:58Z,1,"<a href=""https://www.youtube.com/watch?v=TUCnsS72Q9s&amp;t=24m04s"">24:04</a>"
Jswin,2023-05-07T11:14:39Z,2023-05-07T11:14:39Z,1,"<a href=""https://www.youtube.com/watch?v=TUCnsS72Q9s&amp;t=16m50s"">16:50</a>"
Just call me Brian,2023-05-07T06:11:47Z,2023-05-07T06:11:47Z,2,"This along with the recent spotlight on Artificial Intelligence confirm everything the Blake Lemoine said nearly a year ago. Blake Lemoine deserves a apology, he was not a crackpot or crazy! What he said about Google and Lamda was real! This segment from 60 minutes proves this."
Sherry Woomert,2023-05-06T13:04:55Z,2023-05-06T13:04:55Z,0,"Wives and mothers still enjoy a very unique position in the world. One must choose, and engage in that career with intention. Husband&#39;s and fathers are unique to thier own family, they and thier wives are not going to be successfully replaced by either a government program or an artificial intelligence. There is still a wonderful place for humans."
MattCharles,2023-05-06T03:13:16Z,2023-05-06T03:13:16Z,0,"All of it created by those who are godless, all created to be god&#39;s.  <br>Get ready for the return of Jesus.  Whether you&#39;re ready or not, He will come."
Yonas Abebe,2023-05-05T12:52:58Z,2023-05-05T12:52:58Z,1,"Poor &amp; very low demonstration  from google e teams. They just have the idea not deep knowledge of AI, somone genius groups are behind. Ai knows what&#39;s behind not in the near  future !"
Tien Duong,2023-05-05T11:37:53Z,2023-05-05T11:37:53Z,0,"with intelligence, human is almost destroying earth in the last 100 years. Now with AI super intelligence...."
Legrande Blackwell,2023-05-04T20:07:20Z,2023-05-04T20:07:20Z,0,Hallucinations...riiiiiiiiiight
